German,Slovak
ich,Ja
sie,ona
das,to
ist,je
du,vy
nicht,nie
die,t
es,z
und,a
der,t
wir,počasie
was,Čo
zu,na
er,on
ein,a
in,v
ja,Áno
mir,mne
mit,s
wie,ako
den,t
mich,ja
auf,zapnutý
dass,to
aber,ale
eine,jeden
so,tak
hat,Mať
hier,tu
haben,mať
fÃ¼r,pre
sind,sú
war,bol
von,z
wenn,ak
dich,vy
ihr,jej
nein,nie
habe,mať
an,na adrese
bin,am
noch,stále
nur,len
da,tam
dir,pre teba
sich,sám
einen,a
uns,Nás
hast,mať
dem,na
kann,môcť
gut,Dobrý
auch,dokonca
schon,krásny
als,za
sein,byť
mal,čas
jetzt,teraz
ihn,snažiť sa
dann,potom
aus,koniec
meine,môj
um,okolo
im,v
wird,čím
mein,môj
bist,si
doch,naozaj
alles,všetko
weiÃŸ,biely
keine,nie
oder,alebo
nach,po
s,s
nichts,nič
man,jeden
muss,sa dostal do
werden,čím
will,chcieť
ihnen,ich
geht,prebiehať
wo,Kde
etwas,nejaký
oh,Oh
mehr,viac
bei,na adrese
also,tak
bitte,Nie je začo
immer,vždy
hab,mať
warum,prečo
vor,"pred, vpredu"
los,Poď
kÃ¶nnen,byť
wieder,opäť
sagen,povedať
machen,robiť
danke,Vďaka
sehr,veľmi
alle,Všetci
denn,potom
mann,muž
tun,robiť
ihm,snažiť sa
zum,na
gehen,prechádzka
sehen,pozrieť sa
vielleicht,možno
einem,a
wer,SZO
ihre,váš
diese,títo
euch,pre teba
einer,a
komm,prísť
Ã¼ber,Nad
gibt,udeliť
okay,V poriadku
wissen,vedieť
deine,váš
mÃ¼ssen,musím
soll,cieľ
werde,stať sa
nie,nikdy
wirklich,naozaj
hey,hej
kein,nie
viel,veľa
weg,preč
wÃ¼rde,sedlo
tut,robiť
am,na
des,z
einfach,ľahký
leben,Život
hatte,by mali
zeit,Čas
weil,pretože
willst,chcieť
kommen,prísť
dein,váš
heute,dnešok
kommt,príde
wollen,chcieť
damit,za účelom
ganz,všetko
wÃ¤re,byť
wollte,chcel
weiÃŸt,nože
ok,V poriadku
sicher,zabezpečiť
gesagt,uviedol
frau,žena
nun,dobre
